Fold,Accuracy,Precision,Recall,F1,ROC_AUC
1,0.870213823968175,0.7738004569687738,0.6764314247669774,0.7218472468916519,0.9307694206591608
2,0.8700480689540858,0.7885852090032154,0.6531291611185086,0.7144938091769847,0.9290637569681975
3,0.8687002652519894,0.7767369242779079,0.6628914057295137,0.715312724658519,0.9250414385701228
4,0.8687002652519894,0.7771696637998436,0.6622251832111925,0.7151079136690648,0.9242299439599673
5,0.8746684350132626,0.7965023847376789,0.6671105193075899,0.7260869565217392,0.9302725872493776
