Experiment,Model,Accuracy,Precision,Recall,F1,ROC_AUC,SPD,EOD,DI,Female_Selection_Rate,Male_Selection_Rate,Female_TPR,Male_TPR,Female_FPR,Male_FPR
NoSex,LogisticRegression_NoSex,0.8588,0.7608,0.6312,0.69,0.9168,0.1702,0.0632,0.3476,0.0907,0.261,0.5856,0.6391,0.0264,0.0896
NoSex,DecisionTree_NoSex,0.813,0.6245,0.6245,0.6245,0.75,0.1732,0.0822,0.431,0.1312,0.3043,0.5766,0.6328,0.0732,0.1555
NoSex,RandomForest_NoSex,0.8561,0.7405,0.6498,0.6922,0.908,0.1764,0.0694,0.3584,0.0985,0.2749,0.6081,0.657,0.0322,0.1016
NoSex,XGBoost_NoSex,0.874,0.7982,0.6611,0.7232,0.9354,0.1682,0.0569,0.3529,0.0918,0.26,0.6126,0.6695,0.024,0.0744
